experiment,param_name,param_value,final_mean_return,num_seeds,num_episodes
baseline,baseline,baseline,362.4,3,500
learning_rate_tuning,lr,0.0001,49.616666666666674,3,500
learning_rate_tuning,lr,0.00025,369.7166666666667,3,500
learning_rate_tuning,lr,0.0005,470.5666666666667,3,500
learning_rate_tuning,lr,0.001,418.8666666666667,3,500
epsilon_decay_steps_tuning,epsilon_decay_steps,5000,428.41666666666663,3,500
epsilon_decay_steps_tuning,epsilon_decay_steps,10000,227.93333333333334,3,500
epsilon_decay_steps_tuning,epsilon_decay_steps,20000,424.2333333333334,3,500
target_update_tuning,target_update,5,341.05,3,500
target_update_tuning,target_update,10,298.0,3,500
target_update_tuning,target_update,20,333.49999999999994,3,500
target_update_tuning,target_update,50,278.25,3,500
batch_size_tuning,batch_size,32,329.65,3,500
batch_size_tuning,batch_size,64,366.8333333333333,3,500
batch_size_tuning,batch_size,128,331.4,3,500
